SEASON_ID,HOME_TEAM_NAME,AWAY_TEAM_NAME,GAME_ID,GAME_DATE,HWIN,HPLUSMINUS,HPO,APO,HGLW,AGLW,HLGR,ALGR,HLH2HR,ALH2HR,HTFR,ATFR,HSWR,ASWR,HSPS,ASPS,HSPL,ASPL
22011,Sacramento Kings,Minnesota Timberwolves,21100665,2012-03-18,W,16.0,0.005,0.005,4,3,0.3,0.4,0.5,0.5,0.5,0.4,0.341,0.489,96.6,98.2,103.1,97.5
22011,Houston Rockets,San Antonio Spurs,21100034,2011-12-29,W,20.0,0.0149,0.0294,1,2,0.5,0.4,0.4,0.6,0.8,0.1,0.0,1.0,95.0,105.0,104.0,86.0
22011,New Orleans Hornets,Sacramento Kings,21100364,2012-02-06,L,-8.0,0.0066,0.005,4,3,0.1,0.4,0.7,0.3,0.1,0.2,0.16699999999999998,0.348,87.8,91.8,93.2,101.6
22011,Minnesota Timberwolves,Houston Rockets,21100248,2012-01-23,L,-15.0,0.005,0.0149,4,4,0.5,0.7,0.1,0.9,0.4,0.3,0.43799999999999994,0.563,95.2,97.4,93.8,97.4
22011,Denver Nuggets,Miami Heat,21100168,2012-01-13,W,13.0,0.0149,0.3077,4,3,0.6,0.7,0.8,0.2,0.8,0.6,0.636,0.727,103.6,106.4,97.5,97.7
22011,Dallas Mavericks,Indiana Pacers,21100340,2012-02-03,L,-11.0,0.1053,0.0149,4,4,0.6,0.7,0.8,0.2,0.8,0.7,0.609,0.7140000000000001,94.3,94.5,90.8,91.2
22011,New Jersey Nets,San Antonio Spurs,21100403,2012-02-11,L,-14.0,0.0244,0.0294,4,3,0.3,0.8,0.1,0.9,0.3,0.5,0.28600000000000003,0.667,92.4,97.8,99.9,93.4
22011,Atlanta Hawks,Memphis Grizzlies,21100326,2012-02-02,L,-19.0,0.0196,0.0385,3,4,0.8,0.6,0.9,0.1,0.8,0.4,0.727,0.524,97.6,93.6,90.6,92.3
22011,Washington Wizards,Boston Celtics,21100237,2012-01-22,L,-6.0,0.0066,0.0588,3,3,0.2,0.4,0.3,0.7,0.3,0.3,0.133,0.35700000000000004,88.7,88.9,99.0,90.1
22011,Minnesota Timberwolves,Los Angeles Clippers,21100560,2012-03-05,W,1.0,0.005,0.0476,4,4,0.6,0.5,0.4,0.6,0.6,0.6,0.5,0.629,97.4,97.8,96.5,95.6
22011,Portland Trail Blazers,Denver Nuggets,21100037,2011-12-29,W,9.0,0.0294,0.0149,2,2,0.5,0.5,0.4,0.6,0.8,0.4,1.0,1.0,104.0,116.0,91.0,96.5
22011,Sacramento Kings,Golden State Warriors,21100353,2012-02-04,W,8.0,0.005,0.0079,3,2,0.3,0.5,0.4,0.6,0.5,0.3,0.318,0.4,90.8,97.3,101.4,99.3
22011,New Jersey Nets,Orlando Magic,21100491,2012-02-22,L,-17.0,0.0244,0.0385,5,4,0.2,0.7,0.1,0.9,0.2,0.6,0.294,0.636,92.6,93.1,99.0,91.1
22011,Orlando Magic,Philadelphia 76ers,21100430,2012-02-15,W,16.0,0.0385,0.0079,4,4,0.6,0.7,0.8,0.2,0.5,0.7,0.621,0.69,93.2,95.9,91.5,86.8
22011,Washington Wizards,Charlotte Bobcats,21100258,2012-01-25,W,17.0,0.0066,0.005,4,3,0.2,0.1,0.3,0.7,0.2,0.2,0.11800000000000001,0.16699999999999998,88.6,90.0,99.3,101.6
22011,Houston Rockets,Oklahoma City Thunder,21100115,2012-01-07,L,-3.0,0.0149,0.125,4,4,0.4,0.6,0.5,0.5,0.8,0.4,0.28600000000000003,0.75,95.7,99.9,102.9,97.5
22011,Charlotte Bobcats,Chicago Bulls,21100391,2012-02-10,L,-31.0,0.005,0.1538,2,3,0.0,0.7,0.3,0.7,0.2,0.7,0.12,0.7859999999999999,87.2,97.4,100.8,87.7
22011,Portland Trail Blazers,Oklahoma City Thunder,21100366,2012-02-06,L,-4.0,0.0294,0.125,4,4,0.6,0.7,0.6,0.4,0.9,0.7,0.583,0.7829999999999999,98.2,100.0,91.7,95.1
22011,Atlanta Hawks,Portland Trail Blazers,21100208,2012-01-18,W,3.0,0.0196,0.0294,4,4,0.7,0.5,0.6,0.4,0.7,0.2,0.7140000000000001,0.615,98.4,97.9,90.9,94.8
22011,Toronto Raptors,New York Knicks,21100420,2012-02-14,L,-3.0,0.004,0.0588,3,3,0.3,0.6,0.5,0.5,0.3,0.4,0.31,0.46399999999999997,88.2,95.5,93.7,94.6
22011,Dallas Mavericks,Utah Jazz,21100544,2012-03-03,W,6.0,0.1053,0.0099,3,3,0.5,0.4,0.8,0.2,0.6,0.1,0.568,0.486,94.0,96.5,91.2,97.4
22011,Memphis Grizzlies,Golden State Warriors,21100796,2012-04-03,W,4.0,0.0385,0.0079,4,4,0.5,0.2,0.7,0.3,0.8,0.4,0.569,0.392,95.2,98.0,93.8,100.4
22011,Golden State Warriors,Chicago Bulls,21100017,2011-12-26,W,8.0,0.0079,0.1538,1,1,0.5,0.5,0.4,0.6,0.7,0.6,0.0,1.0,86.0,88.0,105.0,87.0
22011,Detroit Pistons,New Jersey Nets,21100393,2012-02-10,W,17.0,0.005,0.0244,3,4,0.3,0.3,0.6,0.4,0.3,0.4,0.259,0.29600000000000004,86.7,92.4,95.7,99.5
22011,Oklahoma City Thunder,Boston Celtics,21100490,2012-02-22,W,15.0,0.125,0.0588,4,4,0.7,0.4,0.42857142857142855,0.5714285714285714,1.0,0.4,0.7809999999999999,0.484,102.3,88.9,96.3,87.5
22011,New York Knicks,Charlotte Bobcats,21100085,2012-01-04,L,-8.0,0.0588,0.005,4,4,0.2,0.3,0.5,0.5,0.5,0.2,0.4,0.2,93.0,92.2,95.4,107.0
22011,New Orleans Hornets,Chicago Bulls,21100381,2012-02-08,L,-23.0,0.0066,0.1538,4,4,0.1,0.7,0.3,0.7,0.1,0.7,0.16,0.778,88.0,97.6,93.4,88.4
22011,San Antonio Spurs,Atlanta Hawks,21100265,2012-01-25,W,22.0,0.0294,0.0196,4,4,0.5,0.8,0.9,0.1,0.9,0.5,0.611,0.722,99.2,97.9,96.4,91.0
22011,San Antonio Spurs,Los Angeles Lakers,21100866,2012-04-11,L,-14.0,0.0294,0.1818,4,4,0.9,0.6,0.4,0.6,0.9,0.7,0.727,0.621,102.0,96.8,96.3,94.8
22011,New Jersey Nets,Utah Jazz,21100731,2012-03-26,L,-21.0,0.0244,0.0099,4,4,0.3,0.7,0.4,0.6,0.3,0.4,0.32,0.531,92.7,99.0,98.8,99.1
22011,Dallas Mavericks,Oklahoma City Thunder,21100321,2012-02-01,L,-9.0,0.1053,0.125,4,3,0.7,0.8,0.7,0.3,0.9,0.7,0.636,0.8,94.7,100.4,90.6,95.1
22011,Memphis Grizzlies,Phoenix Suns,21100862,2012-04-11,W,11.0,0.0385,0.0099,4,4,0.8,0.7,0.4,0.6,0.8,0.6,0.589,0.526,95.0,97.9,93.4,97.5
22011,Golden State Warriors,Indiana Pacers,21100226,2012-01-20,L,-3.0,0.0079,0.0149,4,3,0.3,0.6,0.5,0.5,0.5,0.4,0.35700000000000004,0.6920000000000001,95.9,92.8,99.8,89.2
22011,Philadelphia 76ers,Dallas Mavericks,21100446,2012-02-17,L,-7.0,0.0079,0.1053,4,4,0.6,0.7,0.2,0.8,0.6,0.7,0.667,0.633,95.6,95.0,87.3,91.3
22011,Golden State Warriors,Houston Rockets,21100412,2012-02-12,W,9.0,0.0079,0.0149,2,3,0.4,0.6,0.1,0.9,0.4,0.6,0.391,0.593,99.0,98.2,100.9,96.0
22011,Portland Trail Blazers,Minnesota Timberwolves,21100783,2012-04-01,W,13.0,0.0294,0.005,4,4,0.4,0.3,0.8,0.2,0.6,0.4,0.462,0.47200000000000003,96.8,98.6,96.0,98.8
22011,Toronto Raptors,Orlando Magic,21100727,2012-03-26,L,-16.0,0.004,0.0385,4,3,0.3,0.6,0.4,0.6,0.4,0.5,0.327,0.633,91.0,93.8,94.8,91.7
22011,Utah Jazz,Miami Heat,21100536,2012-03-02,W,1.0,0.0099,0.3077,2,1,0.3,0.9,0.3,0.7,0.6,0.8,0.47100000000000003,0.8,96.4,103.8,97.4,94.3
22011,Orlando Magic,Atlanta Hawks,21100392,2012-02-10,L,-2.0,0.0385,0.0196,4,3,0.5,0.6,0.3,0.7,0.5,0.6,0.615,0.654,92.9,96.1,91.6,91.3
22011,Milwaukee Bucks,Indiana Pacers,21100891,2012-04-14,L,-6.0,0.0079,0.0149,4,4,0.7,0.8,0.6,0.4,0.5,0.5,0.49200000000000005,0.627,99.3,96.9,98.6,93.9
22011,New York Knicks,Portland Trail Blazers,21100628,2012-03-14,W,42.0,0.0588,0.0294,4,4,0.2,0.3,0.3,0.7,0.7,0.3,0.429,0.47600000000000003,96.7,97.5,96.5,94.6
22011,Dallas Mavericks,San Antonio Spurs,21100295,2012-01-29,W,1.0,0.1053,0.0294,3,3,0.7,0.6,0.2,0.8,0.8,0.2,0.6,0.6,93.1,98.5,89.8,95.3
22011,Los Angeles Clippers,Denver Nuggets,21100330,2012-02-02,L,-21.0,0.0476,0.0149,4,3,0.7,0.7,0.4,0.6,0.9,0.6,0.684,0.667,99.0,105.4,97.0,99.2
22011,San Antonio Spurs,Portland Trail Blazers,21100965,2012-04-23,W,35.0,0.0294,0.0294,5,3,0.8,0.3,0.2,0.8,0.9,0.2,0.746,0.43799999999999994,103.2,97.4,96.4,97.4
22011,Toronto Raptors,Orlando Magic,21100554,2012-03-05,L,-4.0,0.004,0.0385,4,3,0.4,0.7,0.4,0.6,0.4,0.6,0.324,0.632,89.4,94.1,93.5,91.5
22011,Portland Trail Blazers,Miami Heat,21100527,2012-03-01,L,-14.0,0.0294,0.3077,1,1,0.4,0.9,0.6,0.4,0.6,0.7,0.514,0.794,98.3,103.7,93.4,94.4
22011,Utah Jazz,Denver Nuggets,21100708,2012-03-23,W,19.0,0.0099,0.0149,4,3,0.7,0.6,0.6,0.4,0.8,0.4,0.532,0.5529999999999999,97.8,103.7,98.2,101.8
22011,Portland Trail Blazers,Atlanta Hawks,21100459,2012-02-18,W,20.0,0.0294,0.0196,4,3,0.4,0.5,0.4,0.6,0.5,0.6,0.516,0.633,97.5,95.1,93.1,91.7
